schoolnr pupilNR_new langPOST ses IQ_verb sex Minority denomina sch_ses sch_iqv sch_min
  1.00    3.00  46.00  -4.73   3.13   0.00   0.00   1.00 -14.035 -1.4039  0.630
  1.00    4.00  45.00 -17.73   2.63   0.00   1.00   1.00 -14.035 -1.4039  0.630
  1.00    5.00  33.00 -12.73  -2.37   0.00   0.00   1.00 -14.035 -1.4039  0.630
  1.00    6.00  46.00  -4.73  -0.87   0.00   0.00   1.00 -14.035 -1.4039  0.630
  1.00    7.00  20.00 -17.73  -3.87   0.00   0.00   1.00 -14.035 -1.4039  0.630
  1.00    8.00  30.00 -17.73  -2.37   0.00   1.00   1.00 -14.035 -1.4039  0.630
  1.00    9.00  30.00  -4.73  -2.37   0.00   1.00   1.00 -14.035 -1.4039  0.630
  1.00   10.00  57.00 -17.73   1.13   0.00   0.00   1.00 -14.035 -1.4039  0.630
  1.00   11.00  36.00 -14.73  -2.37   0.00   1.00   1.00 -14.035 -1.4039  0.630
  1.00   12.00  36.00 -12.73  -0.87   0.00   1.00   1.00 -14.035 -1.4039  0.630
  1.00   13.00  29.00 -17.73  -6.37   1.00   1.00   1.00 -14.035 -1.4039  0.630
  1.00   14.00  40.00  -9.73   2.13   0.00   0.00   1.00 -14.035 -1.4039  0.630
  1.00   15.00  41.00 -12.73  -2.87   0.00   1.00   1.00 -14.035 -1.4039  0.630
  1.00   16.00  47.00  -7.73  -1.37   0.00   1.00   1.00 -14.035 -1.4039  0.630
  1.00   17.00  33.00 -17.73  -1.87   0.00   1.00   1.00 -14.035 -1.4039  0.630
  1.00   18.00  37.00  -7.73  -0.87   0.00   0.00   1.00 -14.035 -1.4039  0.630
  1.00   19.00  29.00 -14.73  -5.37   1.00   0.00   1.00 -14.035 -1.4039  0.630
  1.00   20.00  26.00 -17.73  -7.87   1.00   1.00   1.00 -14.035 -1.4039  0.630
  1.00   21.00  37.00 -17.73  -0.87   1.00   1.00   1.00 -14.035 -1.4039  0.630
  1.00   22.00  40.00 -12.73  -0.87   1.00   1.00   1.00 -14.035 -1.4039  0.630
  1.00   23.00  27.00 -17.73  -0.87   1.00   0.00   1.00 -14.035 -1.4039  0.630
  1.00   24.00  43.00 -14.73   0.63   1.00   0.00   1.00 -14.035 -1.4039  0.630
  1.00   25.00  39.00 -17.73  -0.37   1.00   1.00   1.00 -14.035 -1.4039  0.630
  1.00   26.00  21.00 -17.73  -1.87   1.00   1.00   1.00 -14.035 -1.4039  0.630
  1.00   27.00  42.00 -17.73  -1.87   1.00   1.00   1.00 -14.035 -1.4039  0.630
  2.00   28.00  21.00 -12.73  -0.37   1.00   0.00   1.00 -12.299 -2.8668  0.143
  2.00   29.00  27.00 -12.73  -1.37   0.00   0.00   1.00 -12.299 -2.8668  0.143
  2.00   30.00  16.00  -7.73  -3.87   0.00   0.00   1.00 -12.299 -2.8668  0.143
  2.00   31.00  31.00 -12.73  -4.37   1.00   0.00   1.00 -12.299 -2.8668  0.143
  2.00   32.00  21.00 -17.73  -4.37   0.00   1.00   1.00 -12.299 -2.8668  0.143
  2.00   33.00  18.00  -4.73  -5.37   1.00   0.00   1.00 -12.299 -2.8668  0.143
  2.00   34.00  32.00 -17.73  -0.37   0.00   0.00   1.00 -12.299 -2.8668  0.143
  3.00   36.00  50.00   6.27   2.13   1.00   0.00   1.00   1.162 -0.3668  0.000
  3.00   37.00  25.00 -13.73  -2.87   1.00   0.00   1.00   1.162 -0.3668  0.000
  3.00   38.00  38.00   7.27  -1.37   1.00   0.00   1.00   1.162 -0.3668  0.000
  3.00   39.00  33.00  -5.73  -2.37   0.00   0.00   1.00   1.162 -0.3668  0.000
  3.00   40.00  41.00   9.27  -0.87   0.00   0.00   1.00   1.162 -0.3668  0.000
  3.00   41.00  41.00  -1.73  -0.37   1.00   0.00   1.00   1.162 -0.3668  0.000
  3.00   42.00  39.00  -7.73  -1.37   1.00   0.00   1.00   1.162 -0.3668  0.000
  3.00   43.00  52.00  12.27   1.13   1.00   0.00   1.00   1.162 -0.3668  0.000
  9.00   92.00  34.00  -6.73  -0.87   0.00   0.00   1.00   3.182  0.9059  0.000
  9.00   93.00  34.00   5.27   1.63   0.00   0.00   1.00   3.182  0.9059  0.000
  9.00   94.00  43.00  -2.73  -0.87   0.00   0.00   1.00   3.182  0.9059  0.000
  9.00   95.00  40.00   0.27   1.13   1.00   0.00   1.00   3.182  0.9059  0.000
  9.00   96.00  48.00  13.27   0.63   0.00   0.00   1.00   3.182  0.9059  0.000
  9.00   97.00  46.00  -4.73   1.13   0.00   0.00   1.00   3.182  0.9059  0.000
  9.00   98.00  45.00   4.27  -1.37   0.00   0.00   1.00   3.182  0.9059  0.000
  9.00   99.00  55.00  15.27   2.13   0.00   0.00   1.00   3.182  0.9059  0.000
  9.00  100.00  53.00  12.27   1.63   1.00   0.00   1.00   3.182  0.9059  0.000
  9.00  101.00  46.00  -7.73   2.63   0.00   0.00   1.00   3.182  0.9059  0.000
  9.00  102.00  56.00   6.27   2.13   0.00   0.00   1.00   3.182  0.9059  0.000
 10.00  109.00  28.00 -12.73  -1.37   0.00   0.00   1.00  -8.127 -1.3668  0.000
 10.00  110.00  33.00  -7.73  -1.37   0.00   0.00   1.00  -8.127 -1.3668  0.000
 10.00  111.00  38.00  -7.73   0.63   1.00   0.00   1.00  -8.127 -1.3668  0.000
 10.00  112.00  14.00 -17.73  -3.87   1.00   0.00   1.00  -8.127 -1.3668  0.000
 10.00  113.00  39.00   5.27  -0.87   1.00   0.00   1.00  -8.127 -1.3668  0.000
 12.00  144.00  39.00  -4.73  -0.37   1.00   0.00   1.00   2.037 -2.3374  0.000
 12.00  146.00  23.00  -0.73  -2.37   0.00   0.00   1.00   2.037 -2.3374  0.000
 12.00  147.00  43.00   5.27  -1.37   1.00   0.00   1.00   2.037 -2.3374  0.000
 12.00  148.00  25.00   5.27  -3.37   1.00   0.00   1.00   2.037 -2.3374  0.000
 12.00  149.00  24.00   0.27  -4.37   1.00   0.00   1.00   2.037 -2.3374  0.000
 12.00  150.00  41.00   9.27  -0.87   1.00   0.00   1.00   2.037 -2.3374  0.000
