teacherID,time,proximity,female,timeSQ,TIME0,TIME1,TIME2,TIME3
1,0,.41,1,0,1,0,0,0
1,1,1.05,1,1,0,1,0,0
1,3,.91,1,9,0,0,0,1
2,0,.64,0,0,1,0,0,0
3,0,1.13,1,0,1,0,0,0
3,2,1.35,1,4,0,0,1,0
4,1,-.4,0,1,0,1,0,0
4,2,.27,0,4,0,0,1,0
4,3,.26,0,9,0,0,0,1
5,0,1.02,1,0,1,0,0,0
5,1,.87,1,1,0,1,0,0
5,2,.98,1,4,0,0,1,0
5,3,.97,1,9,0,0,0,1
6,0,.22,1,0,1,0,0,0
6,1,.29,1,1,0,1,0,0
6,2,.83,1,4,0,0,1,0
6,3,.54,1,9,0,0,0,1
7,2,.33,1,4,0,0,1,0
7,3,.68,1,9,0,0,0,1
8,0,.81,0,0,1,0,0,0
8,1,.77,0,1,0,1,0,0
8,2,.88,0,4,0,0,1,0
8,3,.88,0,9,0,0,0,1
9,0,.32,0,0,1,0,0,0
9,1,.83,0,1,0,1,0,0
9,2,.01,0,4,0,0,1,0
9,3,.2,0,9,0,0,0,1
10,0,.12,0,0,1,0,0,0
10,1,-.13,0,1,0,1,0,0
10,2,.2,0,4,0,0,1,0
10,3,.31,0,9,0,0,0,1
11,0,1.11,0,0,1,0,0,0
11,1,.78,0,1,0,1,0,0
11,2,.83,0,4,0,0,1,0
12,0,-.62,0,0,1,0,0,0
12,1,-.36,0,1,0,1,0,0
12,2,.24,0,4,0,0,1,0
13,0,-.46,0,0,1,0,0,0
13,1,.33,0,1,0,1,0,0
13,2,.22,0,4,0,0,1,0
13,3,.43,0,9,0,0,0,1
14,0,.62,0,0,1,0,0,0
14,1,.4,0,1,0,1,0,0
14,2,.18,0,4,0,0,1,0
14,3,.16,0,9,0,0,0,1
15,0,-.52,1,0,1,0,0,0
15,1,.76,1,1,0,1,0,0
15,2,.82,1,4,0,0,1,0
16,0,-.91,1,0,1,0,0,0
16,2,-.1,1,4,0,0,1,0
17,0,.41,0,0,1,0,0,0
17,1,.15,0,1,0,1,0,0
17,3,.22,0,9,0,0,0,1
18,0,-.26,0,0,1,0,0,0
18,1,.5,0,1,0,1,0,0
